"GENERIC","SAMPLEID","MISSION","STATION","LANDMARK","BAGNUMBER","ORIGINALWEIGHT","SAMPLETYPE","SAMPLESUBTYPE","PRISTINITY","PRISTINITYDATE","HASTHINSECTION","HASDISPLAYSAMPLE","DISPLAYSAMPLENUMBER","GENERICDESCRIPTION"
"67519","833","Apollo 16","11",,,"2.040","Breccia","Fragmental","71.324","May, 09 2012 00:00:00",true,,,"polymict"
"67525","834","Apollo 16","11",,,"2.520","Breccia","Anorthosite","79.405","September, 19 2014 00:00:00",true,,,"Cataclastic anorthosite"
"67526","835","Apollo 16","11",,,"2.440","Breccia","Fragmental","96.760","August, 15 2007 00:00:00",true,,,"polymict"
"67527","836","Apollo 16","11",,,"2.400","Breccia","Fragmental","92.500","August, 15 2007 00:00:00",true,,,"polymict"
"67528","837","Apollo 16","11",,,"1.240","Breccia","Fragmental","83.060","August, 15 2007 00:00:00",true,,,"polymict"
"67529","838","Apollo 16","11",,,"1.130","Breccia","Anorthosite","67.699","December, 02 2013 00:00:00",true,,,"Cataclastic anorthosite"
"67535","839","Apollo 16","11",,,"0.990","Breccia","Anorthosite","63.333","May, 02 2013 00:00:00",true,,,"Fragmental breccia or cataclastic anorthosite"
"67536","840","Apollo 16","11",,,"1.200","Breccia","Anorthosite","63.500","May, 02 2013 00:00:00",true,,,"Fragmental breccia or cataclastic anorthosite"
"67537","841","Apollo 16","11",,,"1.290","Breccia","Anorthosite","68.990","August, 15 2007 00:00:00",true,,,"Cataclastic anorthosite"
"67538","842","Apollo 16","11",,,"1.770","Breccia","Fragmental","92.320","August, 15 2007 00:00:00",true,,,"polymict"
"67539","843","Apollo 16","11",,,"2.120","Breccia","Fragmental","71.085","March, 30 2012 00:00:00",true,,,"polymict"
"67545","844","Apollo 16","11",,,"1.880","Breccia","Fragmental","92.930","August, 15 2007 00:00:00",true,,,"polymict"
"67546","845","Apollo 16","11",,,"1.500","Breccia","Fragmental","97.933","May, 09 2012 00:00:00",true,,,"polymict"
"67547","846","Apollo 16","11",,,"0.830","Breccia","Fragmental","84.340","August, 15 2007 00:00:00",true,,,"polymict"
"67548","847","Apollo 16","11",,,"1.360","Breccia","Fragmental","92.650","August, 15 2007 00:00:00",true,,,"polymict"
"67549","848","Apollo 16","11",,,"43.100","Breccia","Fragmental","98.380","August, 15 2007 00:00:00",true,,,"polymict"
"67555","849","Apollo 16","11",,,"3.540","Breccia","Impact Melt","97.180","August, 15 2007 00:00:00",true,,,"Glassy"
"67556","850","Apollo 16","11",,,"82.100","Breccia","Impact Melt","98.564","September, 19 2014 00:00:00",true,,,"Basaltic"
"67557","851","Apollo 16","11",,,"3.300","Breccia","fragmental","79.758","April, 03 2013 00:00:00",true,,,
"67558","852","Apollo 16","11",,,"2.560","Breccia","Fragmental","98.440","August, 15 2007 00:00:00",true,,,"polymict"
"67559","853","Apollo 16","11",,,"32.900","Breccia","Impact Melt","66.072","September, 19 2014 00:00:00",true,,,"Basaltic"
"67565","854","Apollo 16","11",,,"10.430","Breccia","Impact Melt","93.097","March, 30 2012 00:00:00",true,,,"Poikilitic"
"67566","855","Apollo 16","11",,,"4.310","Breccia","Impact Melt","86.775","May, 09 2012 00:00:00",true,,,"Granoblastic impactite"
"67567","856","Apollo 16","11",,,"11.510","Breccia","Impact Melt","80.999","March, 30 2012 00:00:00",true,,,"Glass"
"67568","857","Apollo 16","11",,,"11.050","Breccia","Impact Melt","94.543","March, 30 2012 00:00:00",true,,,"Glass"
"67569","858","Apollo 16","11",,,"7.270","Breccia","Impact Melt","93.700","February, 25 2011 00:00:00",true,,,"Glass"
"67575","859","Apollo 16","11",,,"4.470","Breccia","Impact Melt","99.330","August, 15 2007 00:00:00",true,,,"Glassy"
"67576","860","Apollo 16","11",,,"3.980","Breccia","unstudied","89.020","August, 15 2007 00:00:00",true,,,"Glassy"
"67600",,"Apollo 16","11","NORTH RAY CRATER",,"2.170","Soil","4-10 mm","0.000","March, 30 2012 00:00:00",true,,,"Fines, 4-10mm"
