"GENERIC","SAMPLEID","MISSION","STATION","LANDMARK","BAGNUMBER","ORIGINALWEIGHT","SAMPLETYPE","SAMPLESUBTYPE","PRISTINITY","PRISTINITYDATE","HASTHINSECTION","HASDISPLAYSAMPLE","DISPLAYSAMPLENUMBER","GENERICDESCRIPTION"
"68504",,"Apollo 16",,,,"17.270","Soil","4-10 mm","98.260","August, 15 2007 00:00:00",false,,,"Fines, 4-10mm"
"68505","961","Apollo 16","8",,,"1.300","Breccia","Impact Melt","79.000","February, 09 2012 00:00:00",true,,,"Poikilitic"
"68510","962","Apollo 16",,,,"17.480","Unclassified",,"66.650","August, 15 2007 00:00:00",false,,,
"68515","963","Apollo 16","8",,,"236.100","Breccia","Impact Melt","98.881","February, 25 2011 00:00:00",true,,,"Dilithologic or polymict"
"68516","964","Apollo 16","8",,,"34.040","Breccia","Impact Melt","92.236","March, 30 2012 00:00:00",true,,,"Fine-grained/glassy"
"68517","965","Apollo 16","8",,,"13.130","Breccia","Fragmental","98.058","April, 03 2013 00:00:00",true,,,"Crystalline or polymict"
"68518","966","Apollo 16","8",,,"29.820","Breccia","not studied","99.453","April, 03 2013 00:00:00",false,,,"Glass"
"68519","967","Apollo 16","8",,,"10.560","Breccia","Impact Melt","84.564","May, 09 2012 00:00:00",true,,,"Basaltic"
"68525","968","Apollo 16","8",,,"38.960","Breccia","Impact Melt","99.110","August, 15 2007 00:00:00",true,,,"Poikilitic"
"68526","969","Apollo 16","8",,,"7.210","Breccia","Impact Melt","89.600","August, 15 2007 00:00:00",true,,,"Poikilitic"
"68527","970","Apollo 16","8",,,"3.030","Breccia","Impact Melt","96.700","August, 15 2007 00:00:00",true,,,"Crystalline polymict (poikilitic)"
"68528","971","Apollo 16","8",,,"1.080","Breccia","Impact Melt","89.810","August, 15 2007 00:00:00",true,,,"Crystalline, polymict"
"68529","972","Apollo 16","8",,,"7.030","Breccia","Impact Melt","98.580","August, 15 2007 00:00:00",true,,,"Glass"
"68535","973","Apollo 16","8",,,"8.040","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"68536","975","Apollo 16","8",,,"1.850","Breccia","Impact Melt","88.486","March, 30 2012 00:00:00",true,,,"Basaltic"
"68537","976","Apollo 16","8",,,"1.410","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained"
"68810",,"Apollo 16",,,,"72.300","Residue",,"18.147","March, 08 2010 00:00:00",false,,,
"68815","977","Apollo 16","8",,,"1826.000","Breccia","Impact Melt","87.165","March, 03 2015 00:00:00",true,,,"Glassy"
"68820",,"Apollo 16","8",,,"83.730","Soil","Unsieved","98.840","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"68821",,"Apollo 16",,,,"123.900","Soil","Unsieved","92.118","September, 19 2014 00:00:00",true,,,"Fines, Unsieved"
"68822",,"Apollo 16",,,,"7.350","Soil","1-2 mm","86.395","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"68823",,"Apollo 16",,,,"3.520","Soil","2-4 mm","100.000","December, 04 2013 00:00:00",false,,,"Fines, 2-4mm"
"68824","978","Apollo 16",,,,"1.500","Soil","4-10mm","103.600","August, 15 2007 00:00:00",false,,,
"68825",,"Apollo 16","8",,,"8.658","Breccia","Impact Melt","97.150","August, 15 2007 00:00:00",false,,,"Glassy impact melt"
"68840",,"Apollo 16","8",,,"154.500","Soil","Unsieved","99.290","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"68841",,"Apollo 16",,,,"266.600","Soil","<1 mm","93.267","September, 19 2014 00:00:00",true,,,"Fines, < 1mm"
"68842",,"Apollo 16",,,,"14.360","Soil","1-2 mm","86.072","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"68843",,"Apollo 16",,,,"8.890","Soil","2-4 mm","87.402","December, 04 2013 00:00:00",false,,,"Fines, 2-4mm"
"68844","979","Apollo 16",,,,"5.010","Soil","4-10mm","98.840","August, 15 2007 00:00:00",false,,,
"68845",,"Apollo 16","8",,,"4.556","Breccia","Impact Melt","84.830","August, 15 2007 00:00:00",true,,,
"68846",,"Apollo 16","8",,,"2.284","Breccia","Impact Melt","90.980","August, 15 2007 00:00:00",true,,,
"68847",,"Apollo 16","8",,,"2.854","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,
"68848",,"Apollo 16","8",,,"1.770","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Basaltic impact melt (G)"
"69001",,"Apollo 16","9","SOUTH RAY CRATER",,"558.300","Core","Unsieved","100.000","August, 15 2007 00:00:00",false,,,
"69003","980","Apollo 16",,,,"1.000","Special","unsieved","23.700","April, 20 2009 00:00:00",false,,,
"69004","981","Apollo 16",,,,"2.000","Special","unsieved","0.400","April, 01 2014 00:00:00",false,,,
"69920",,"Apollo 16","9",,,"0.710","Soil","Unsieved","0.000","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"69921",,"Apollo 16",,,,"59.860","Soil","<1 mm","91.360","February, 18 2014 00:00:00",false,,,"Fines, < 1mm"
"69922",,"Apollo 16",,,,"2.800","Soil","1-2 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 1-2mm"
"69923",,"Apollo 16",,,,"1.700","Soil","2-4 mm","100.000","August, 15 2007 00:00:00",false,,,"Fines, 2-4mm"
"69924","982","Apollo 16",,,,"1.300","Soil","4-10mm","76.920","August, 15 2007 00:00:00",false,,,
"69930",,"Apollo 16",,,,"4.130","Residue",,"92.980","August, 15 2007 00:00:00",false,,,
"69935","983","Apollo 16","9",,,"127.600","Breccia","Fragmental","85.778","March, 30 2012 00:00:00",true,,,"Glassy"
"69940",,"Apollo 16","9",,,"149.400","Soil","Unsieved","99.779","March, 30 2012 00:00:00",true,,,"Fines, Unsieved"
"69941",,"Apollo 16",,,,"254.700","Soil","<1 mm","69.016","September, 03 2014 00:00:00",true,,,"Fines, < 1mm"
"69942",,"Apollo 16",,,,"11.850","Soil","1-2 mm","95.814","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"69943",,"Apollo 16",,,,"8.070","Soil","2-4 mm","85.799","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
"69944","984","Apollo 16",,,,"4.470","Soil","4-10mm","98.076","December, 04 2013 00:00:00",false,,,
"69945","985","Apollo 16","9",,,"6.880","Breccia","Impact Melt","74.564","March, 30 2012 00:00:00",true,,,"Poikilitic"
"69950",,"Apollo 16",,,,"3.770","Residue",,"88.060","August, 15 2007 00:00:00",false,,,
"69955","986","Apollo 16","9",,,"75.940","Breccia","Anorthosite","82.374","July, 15 2013 00:00:00",true,,,"monomict, Cataclastic anorthosite"
"69960",,"Apollo 16","9",,,"171.000","Soil","Unsieved","99.590","August, 15 2007 00:00:00",false,,,"Fines, Unsieved"
"69961",,"Apollo 16",,,,"307.900","Soil","<1 mm","85.489","September, 03 2014 00:00:00",true,,,"Fines, < 1mm"
"69962",,"Apollo 16",,,,"13.930","Soil","1-2 mm","96.274","September, 03 2014 00:00:00",true,,,"Fines, 1-2mm"
"69963",,"Apollo 16",,,,"9.930","Soil","2-4 mm","83.817","March, 30 2012 00:00:00",true,,,"Fines, 2-4mm"
"69964","987","Apollo 16",,,,"4.800","Soil","4-10mm","95.830","August, 15 2007 00:00:00",false,,,
"69965","988","Apollo 16","9",,,"1.120","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
